person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
26,female,Bachelor,92004,3,MORTGAGE,5425,HOMEIMPROVEMENT,8.49,0.06,3,631,Yes,0
22,male,High School,92112,0,MORTGAGE,24000,VENTURE,10.99,0.26,2,639,Yes,0
22,female,,,0,RENT,10000,DEBTCONSOLIDATION,7.66,0.1,3,626,No,0
22,male,Bachelor,92561,0,MORTGAGE,15000,EDUCATION,10.99,0.16,3,673,Yes,0
24,female,Master,91871,2,MORTGAGE,20050,DEBTCONSOLIDATION,10.59,0.22,2,679,Yes,0
24,male,Associate,103033,0,RENT,10000,PERSONAL,10.37,0.1,4,587,Yes,0
23,male,Master,103216,5,RENT,10000,DEBTCONSOLIDATION,6.17,0.1,4,704,Yes,0
26,female,Bachelor,102771,4,RENT,10000,HOMEIMPROVEMENT,11.01,0.1,2,662,Yes,0
24,male,High School,103017,1,RENT,10000,PERSONAL,13.72,0.1,2,588,Yes,0
25,female,Associate,92136,0,MORTGAGE,14000,HOMEIMPROVEMENT,7.66,0.15,3,612,Yes,0
25,female,High School,92027,4,MORTGAGE,6000,PERSONAL,12.98,0.07,2,635,Yes,0
25,female,Master,92250,1,MORTGAGE,20000,PERSONAL,6.54,0.22,4,694,Yes,0
24,male,High School,102812,2,RENT,10000,PERSONAL,16,0.1,3,601,Yes,0
23,male,High School,88834,2,RENT,10000,EDUCATION,14.11,0.11,3,642,No,0
23,male,Bachelor,103067,4,RENT,10000,MEDICAL,11.89,0.1,4,677,No,0
23,female,Associate,92447,0,MORTGAGE,20000,DEBTCONSOLIDATION,11.01,0.22,4,635,No,0
26,male,Bachelor,103288,0,RENT,10000,EDUCATION,11.01,0.1,2,675,No,0
26,male,Associate,103963,2,RENT,10000,EDUCATION,13.49,0.1,3,658,Yes,0
25,female,Associate,104178,5,RENT,10000,HOMEIMPROVEMENT,11.01,0.1,2,615,Yes,0
22,female,Bachelor,105630,4,RENT,10000,EDUCATION,11.26,0.09,3,613,No,0
23,male,Associate,92518,0,OWN,18000,EDUCATION,10.99,0.19,2,675,Yes,0
24,female,Associate,92185,2,RENT,10000,DEBTCONSOLIDATION,16,0.11,2,647,No,0
26,male,Master,106506,2,RENT,10000,VENTURE,12.69,0.09,2,673,Yes,0
23,male,Bachelor,72625,1,MORTGAGE,20000,MEDICAL,11.83,0.28,4,545,No,0
22,female,Associate,85143,0,MORTGAGE,25000,DEBTCONSOLIDATION,13.79,0.29,3,569,No,0
23,male,Associate,109017,1,RENT,10000,EDUCATION,12.69,0.09,4,483,Yes,0
25,female,High School,84780,4,MORTGAGE,15000,PERSONAL,13.16,0.18,3,711,No,0
24,female,High School,109170,1,RENT,10000,DEBTCONSOLIDATION,11.01,0.09,2,634,Yes,0
25,male,High School,72572,0,MORTGAGE,3400,MEDICAL,11.01,0.05,2,668,No,0
26,male,Associate,92162,3,MORTGAGE,7400,EDUCATION,7.51,0.08,2,657,Yes,0
25,female,Bachelor,92419,4,MORTGAGE,3000,DEBTCONSOLIDATION,11.01,0.03,4,655,Yes,0
25,male,High School,109093,0,RENT,10000,DEBTCONSOLIDATION,12.42,0.09,2,549,Yes,0
25,male,Bachelor,108855,4,RENT,10000,PERSONAL,7.49,0.09,2,663,Yes,0
22,female,Associate,92588,0,MORTGAGE,18000,VENTURE,7.88,0.19,3,580,Yes,0
25,female,Bachelor,92217,0,MORTGAGE,3000,HOMEIMPROVEMENT,11.86,0.03,2,619,No,0
23,female,Associate,108966,0,RENT,10000,DEBTCONSOLIDATION,7.49,0.09,3,604,Yes,0
22,female,High School,72690,1,MORTGAGE,20000,MEDICAL,17.74,0.28,3,632,No,0
26,male,Associate,108810,4,RENT,10000,PERSONAL,7.49,0.09,4,619,Yes,0
24,male,Master,108847,4,RENT,10000,HOMEIMPROVEMENT,11.01,0.09,2,662,No,0
26,male,Doctorate,92809,6,MORTGAGE,6000,HOMEIMPROVEMENT,7.9,0.06,4,618,Yes,0
24,male,Bachelor,92686,3,MORTGAGE,12000,DEBTCONSOLIDATION,11.01,0.13,3,669,No,0
26,male,High School,85470,3,MORTGAGE,14500,PERSONAL,7.49,0.17,3,574,No,0
21,female,High School,94838,0,RENT,10000,DEBTCONSOLIDATION,15.57,0.11,4,591,No,0
23,female,Bachelor,93070,1,MORTGAGE,4800,EDUCATION,7.51,0.05,4,672,Yes,0
22,male,Associate,92755,0,MORTGAGE,15000,DEBTCONSOLIDATION,11.01,0.16,4,658,Yes,0
23,male,High School,108909,1,RENT,10000,VENTURE,7.51,0.09,2,682,No,0
26,male,Associate,92765,7,MORTGAGE,24000,EDUCATION,12.73,0.26,3,593,Yes,0
24,female,High School,108775,0,RENT,10000,HOMEIMPROVEMENT,11.89,0.09,4,615,No,0
26,female,Associate,110263,5,RENT,10000,DEBTCONSOLIDATION,11.01,0.09,4,586,Yes,0
25,female,Bachelor,92654,7,MORTGAGE,14800,VENTURE,19.42,0.16,4,660,No,0
23,male,Associate,110340,0,RENT,10000,EDUCATION,10.2,0.09,2,620,Yes,0
22,male,Master,93277,1,MORTGAGE,6000,DEBTCONSOLIDATION,6.62,0.06,4,610,Yes,0
22,female,Master,92994,0,MORTGAGE,12000,PERSONAL,8.9,0.13,2,659,Yes,0
26,female,Associate,92928,6,MORTGAGE,12800,PERSONAL,6.92,0.14,4,693,Yes,0
25,male,,93058,5,MORTGAGE,6500,EDUCATION,5.79,0.07,4,681,Yes,0
25,male,Associate,93207,3,MORTGAGE,20000,PERSONAL,11.01,0.21,2,552,Yes,0
21,female,Bachelor,93207,0,MORTGAGE,8000,PERSONAL,14.96,0.09,3,597,No,0
23,female,Master,93016,4,MORTGAGE,10000,VENTURE,9.63,0.11,4,683,No,0
23,male,Associate,111357,0,RENT,10000,VENTURE,11.71,0.09,4,668,Yes,0
22,female,,93071,2,MORTGAGE,13750,MEDICAL,11.01,0.15,4,617,No,0
23,female,Master,93239,2,MORTGAGE,25000,EDUCATION,11.71,0.27,2,633,Yes,0
24,male,Bachelor,93298,2,MORTGAGE,12000,DEBTCONSOLIDATION,12.42,0.13,2,610,No,0
26,male,Bachelor,112114,5,RENT,10000,VENTURE,13.23,0.09,2,705,No,0
25,male,Master,93090,4,MORTGAGE,12000,EDUCATION,7.9,0.13,4,687,No,0
22,male,High School,93034,1,MORTGAGE,12400,MEDICAL,7.51,0.13,4,659,No,0
23,female,,112794,5,RENT,10000,EDUCATION,14.26,0.09,2,616,Yes,0
25,male,Associate,93511,0,MORTGAGE,9000,HOMEIMPROVEMENT,6.03,0.1,3,614,No,0
24,female,Associate,113769,0,RENT,10000,HOMEIMPROVEMENT,18.64,0.09,2,598,Yes,0
26,female,Bachelor,86057,5,MORTGAGE,6000,DEBTCONSOLIDATION,15.62,0.07,4,643,No,0
23,female,Master,93754,0,OWN,3500,VENTURE,5.99,0.04,2,570,Yes,0
25,female,,93292,0,MORTGAGE,3000,DEBTCONSOLIDATION,7.49,0.03,3,535,Yes,0
24,male,Bachelor,93666,1,MORTGAGE,4000,HOMEIMPROVEMENT,11.99,0.04,2,688,Yes,0
22,male,,73493,0,MORTGAGE,35000,MEDICAL,16.89,0.48,3,616,No,0
23,male,High School,113719,1,RENT,10000,MEDICAL,9.45,0.09,3,530,Yes,0
24,female,,93607,4,MORTGAGE,3850,EDUCATION,11.11,0.04,2,546,Yes,0
25,female,Associate,85845,1,RENT,10000,MEDICAL,16.77,0.12,3,629,No,0
23,female,Associate,114955,2,RENT,10000,PERSONAL,6.17,0.09,3,685,No,0
24,male,Associate,114971,4,RENT,10000,DEBTCONSOLIDATION,11.01,0.09,2,514,Yes,0
25,male,Bachelor,54928,5,RENT,10025,MEDICAL,5.42,0.18,4,690,Yes,0
23,female,Associate,79432,3,RENT,10075,DEBTCONSOLIDATION,13.98,0.13,2,555,No,0
26,female,Bachelor,36254,5,RENT,10100,PERSONAL,13.55,0.28,4,692,No,0
22,male,Associate,86335,0,MORTGAGE,3200,DEBTCONSOLIDATION,10.25,0.04,3,476,No,0
23,male,Bachelor,93303,0,MORTGAGE,10000,EDUCATION,7.88,0.11,4,607,Yes,0
24,female,High School,84894,0,RENT,10125,VENTURE,14.65,0.12,3,673,Yes,0
25,female,High School,93256,2,MORTGAGE,8000,EDUCATION,15.33,0.09,2,578,Yes,0
22,male,Master,93304,0,MORTGAGE,21000,EDUCATION,11.48,0.23,3,580,Yes,0
23,female,High School,83542,2,RENT,10150,DEBTCONSOLIDATION,11.99,0.12,3,650,No,0
24,male,Associate,93396,2,MORTGAGE,14000,MEDICAL,8.94,0.15,3,580,Yes,0
20,male,Bachelor,93288,0,MORTGAGE,6000,VENTURE,8,0.06,2,699,Yes,0
26,male,Bachelor,93205,4,MORTGAGE,5400,DEBTCONSOLIDATION,13.04,0.06,3,564,Yes,0
24,female,Bachelor,85978,3,MORTGAGE,5000,EDUCATION,10.39,0.06,2,631,No,0
23,male,Bachelor,86383,2,MORTGAGE,20000,DEBTCONSOLIDATION,15.13,0.23,2,661,No,0
26,female,Associate,48728,1,RENT,10200,MEDICAL,11.01,0.21,3,613,No,0
26,male,Bachelor,93171,5,MORTGAGE,6000,MEDICAL,11.99,0.06,4,578,Yes,0
25,female,High School,93550,1,MORTGAGE,15000,PERSONAL,9.63,0.16,2,656,Yes,0
23,female,High School,93766,0,MORTGAGE,12000,MEDICAL,5.79,0.13,3,627,Yes,0
24,female,High School,51505,2,RENT,10200,EDUCATION,7.49,0.2,4,494,Yes,0
23,female,High School,92836,0,MORTGAGE,6000,VENTURE,7.88,0.06,2,588,Yes,0
24,male,Master,86114,0,MORTGAGE,5000,DEBTCONSOLIDATION,14.96,0.06,3,663,No,0
25,male,Associate,85860,6,MORTGAGE,2400,DEBTCONSOLIDATION,17.04,0.03,3,493,No,0
25,male,High School,93471,4,MORTGAGE,16000,DEBTCONSOLIDATION,13.92,0.17,2,682,Yes,0
20,male,High School,93599,0,MORTGAGE,24250,EDUCATION,11.36,0.26,2,629,Yes,0
25,female,Bachelor,93539,0,MORTGAGE,3425,DEBTCONSOLIDATION,12.18,0.04,2,669,Yes,0
22,male,Associate,61055,3,RENT,10200,EDUCATION,15.21,0.17,4,649,Yes,0
23,male,High School,66845,0,RENT,10200,PERSONAL,12.73,0.15,2,643,Yes,0
22,male,Associate,93687,0,MORTGAGE,5875,MEDICAL,6.17,0.06,3,636,No,0
24,male,High School,93928,1,MORTGAGE,15000,MEDICAL,6.17,0.16,3,624,No,0
23,female,High School,103347,3,RENT,10200,DEBTCONSOLIDATION,11.01,0.1,3,617,Yes,0
22,female,Bachelor,109242,1,RENT,10200,MEDICAL,11.71,0.09,3,607,Yes,0
24,male,Master,93869,2,MORTGAGE,4800,DEBTCONSOLIDATION,13.79,0.05,4,652,Yes,0
24,female,Master,121313,0,RENT,10200,PERSONAL,12.99,0.08,4,667,No,0
24,female,Bachelor,27144,1,RENT,11000,EDUCATION,7.51,0.41,2,570,No,0
26,male,Doctorate,33578,1,RENT,11000,DEBTCONSOLIDATION,8.9,0.33,3,658,No,0
23,male,Bachelor,33663,1,RENT,11000,DEBTCONSOLIDATION,8.59,0.33,4,608,No,0
22,male,Master,33467,0,RENT,11000,MEDICAL,11.48,0.33,4,646,No,0
21,male,Associate,35951,0,RENT,11000,MEDICAL,13.49,0.31,2,546,No,0
21,female,Bachelor,35906,0,RENT,11000,MEDICAL,14.22,0.31,2,585,No,0
23,female,Associate,36293,0,RENT,11000,DEBTCONSOLIDATION,13.49,0.3,4,634,No,0
25,female,Bachelor,37973,2,RENT,11000,HOMEIMPROVEMENT,13.72,0.29,2,540,No,0
26,female,Bachelor,93880,4,MORTGAGE,6800,DEBTCONSOLIDATION,13.06,0.07,4,671,Yes,0
23,female,Bachelor,39329,1,RENT,11000,EDUCATION,9.91,0.28,3,653,No,0
25,female,Bachelor,39586,1,RENT,11000,DEBTCONSOLIDATION,7.66,0.28,3,632,No,0
23,female,Bachelor,93740,0,MORTGAGE,4000,EDUCATION,16.77,0.04,4,636,Yes,0
23,male,Bachelor,94096,0,MORTGAGE,11700,DEBTCONSOLIDATION,6.17,0.12,3,660,Yes,0
23,male,Associate,40324,1,RENT,11000,DEBTCONSOLIDATION,7.66,0.27,2,585,No,0
25,female,High School,94541,3,MORTGAGE,30000,PERSONAL,11.01,0.32,4,532,Yes,0
23,male,Associate,94522,1,MORTGAGE,15000,EDUCATION,12.99,0.16,4,640,No,0
23,male,Bachelor,41221,2,RENT,11000,MEDICAL,15.65,0.27,3,634,No,0
25,male,Associate,35933,6,RENT,11000,PERSONAL,8.49,0.31,2,572,No,0
24,male,Master,94542,2,MORTGAGE,2300,VENTURE,11.01,0.02,4,631,Yes,0
23,male,Associate,94721,0,MORTGAGE,2400,EDUCATION,12.42,0.03,2,573,Yes,0
24,female,Bachelor,87477,0,MORTGAGE,14000,EDUCATION,14.65,0.16,4,593,No,0
25,male,High School,87409,0,MORTGAGE,10000,DEBTCONSOLIDATION,14.27,0.11,3,521,No,0
24,female,Associate,35610,0,RENT,11000,EDUCATION,15.05,0.31,4,655,No,0
24,female,Master,94719,1,OWN,4500,HOMEIMPROVEMENT,12.69,0.05,3,654,No,0
23,male,Bachelor,69334,0,RENT,11050,EDUCATION,14.74,0.16,4,686,No,0
23,male,Master,94286,1,MORTGAGE,10000,MEDICAL,6.62,0.11,2,663,No,0
25,male,High School,94373,2,MORTGAGE,8000,EDUCATION,7.9,0.08,4,601,Yes,0
22,male,Bachelor,37114,0,RENT,11100,PERSONAL,6.62,0.3,4,689,No,0
23,female,Associate,94440,1,MORTGAGE,5000,EDUCATION,11.71,0.05,2,683,Yes,0
26,female,Master,94795,3,MORTGAGE,7200,PERSONAL,6.62,0.08,2,645,Yes,0
24,female,Bachelor,94545,2,MORTGAGE,5000,HOMEIMPROVEMENT,6.62,0.05,4,643,Yes,0
24,female,Bachelor,94382,3,MORTGAGE,8500,DEBTCONSOLIDATION,7.51,0.09,4,606,Yes,0
22,female,Associate,94261,0,MORTGAGE,1750,EDUCATION,10.65,0.02,4,544,Yes,0
22,male,Bachelor,87346,0,MORTGAGE,8500,PERSONAL,15.96,0.1,2,585,No,0
22,male,High School,39709,1,RENT,11100,VENTURE,12.21,0.28,3,631,No,0
25,female,High School,55254,7,RENT,11100,DEBTCONSOLIDATION,13.11,0.2,2,649,Yes,0
23,male,Associate,94436,1,MORTGAGE,15000,PERSONAL,8.49,0.16,2,620,No,0
22,male,Associate,75908,1,RENT,11100,PERSONAL,11.01,0.15,3,685,Yes,0
23,male,Bachelor,94649,0,MORTGAGE,25000,MEDICAL,11.01,0.26,4,609,Yes,0
26,female,Master,94802,5,MORTGAGE,3000,HOMEIMPROVEMENT,11.49,0.03,2,683,Yes,0
26,male,High School,94305,7,MORTGAGE,8325,EDUCATION,6.99,0.09,4,603,No,0
23,female,Bachelor,94705,1,MORTGAGE,6000,DEBTCONSOLIDATION,12.99,0.06,3,661,Yes,0
21,female,Bachelor,49102,0,OWN,12000,MEDICAL,8.9,0.24,2,646,Yes,0
22,female,Master,32242,1,RENT,11200,PERSONAL,16.89,0.35,3,562,No,0
24,male,Associate,37959,1,RENT,11200,MEDICAL,5.79,0.3,4,611,No,0
23,female,High School,94617,0,MORTGAGE,4200,EDUCATION,13.06,0.04,3,609,No,0
24,female,Bachelor,94416,3,MORTGAGE,20000,DEBTCONSOLIDATION,10.37,0.21,2,663,No,0
25,male,Bachelor,95090,3,MORTGAGE,8000,EDUCATION,5.79,0.08,2,640,No,0
25,male,High School,94757,4,MORTGAGE,6000,VENTURE,11.01,0.06,4,636,No,0
22,male,High School,48970,0,OWN,5000,EDUCATION,16.29,0.1,4,666,Yes,0
23,female,Master,94701,2,MORTGAGE,4600,EDUCATION,7.66,0.05,2,608,Yes,0
24,male,High School,49199,0,OWN,12000,VENTURE,6.03,0.24,4,593,Yes,0
24,female,Associate,94627,4,MORTGAGE,3600,DEBTCONSOLIDATION,5.42,0.04,4,623,Yes,0
23,female,Bachelor,94603,3,MORTGAGE,12400,EDUCATION,7.29,0.13,3,608,Yes,0
26,male,Bachelor,44045,0,RENT,11200,MEDICAL,11.01,0.25,3,577,No,0
26,male,High School,94429,4,MORTGAGE,12000,PERSONAL,13.43,0.13,4,616,Yes,0
25,male,Master,38201,5,RENT,11200,VENTURE,17.27,0.29,4,659,No,0
22,female,Associate,49325,0,RENT,11200,VENTURE,7.88,0.23,2,631,Yes,0
24,male,Bachelor,50877,4,RENT,11200,MEDICAL,10.62,0.22,3,561,Yes,0
22,female,Bachelor,94894,0,MORTGAGE,12000,EDUCATION,6.54,0.13,3,681,Yes,0
21,female,Bachelor,51356,0,RENT,11200,VENTURE,16.77,0.22,4,686,No,0
25,female,Master,94872,1,MORTGAGE,10000,DEBTCONSOLIDATION,5.79,0.11,2,642,Yes,0
23,male,High School,94604,0,MORTGAGE,6000,VENTURE,6.91,0.06,4,653,Yes,0
22,female,Associate,51474,0,RENT,11200,EDUCATION,11.01,0.22,4,692,No,0
26,male,Associate,94449,1,MORTGAGE,1750,PERSONAL,10.36,0.02,2,665,Yes,0
23,male,High School,54931,5,RENT,11200,PERSONAL,10.59,0.2,2,692,No,0
25,female,Master,94552,4,MORTGAGE,14000,VENTURE,7.51,0.15,3,631,Yes,0
23,male,Master,87613,0,MORTGAGE,12000,VENTURE,13.61,0.14,2,638,No,0
24,male,Bachelor,55068,2,RENT,11200,MEDICAL,12.04,0.2,3,624,No,0
26,female,Bachelor,94519,6,OWN,2400,VENTURE,14.72,0.03,3,544,Yes,0
22,male,High School,94772,2,MORTGAGE,15000,DEBTCONSOLIDATION,7.88,0.16,3,640,No,0
23,male,Associate,94631,0,MORTGAGE,25000,VENTURE,15.58,0.26,3,624,Yes,0
25,male,High School,94447,5,MORTGAGE,2400,DEBTCONSOLIDATION,11.86,0.03,4,681,No,0
24,male,Master,94441,1,MORTGAGE,9800,HOMEIMPROVEMENT,10.99,0.1,3,600,Yes,0
23,female,Associate,95079,0,MORTGAGE,1000,EDUCATION,9.88,0.01,3,620,Yes,0
24,female,Bachelor,61074,6,RENT,11200,VENTURE,13.85,0.18,3,705,Yes,0
23,male,Bachelor,87097,3,MORTGAGE,19000,EDUCATION,11.01,0.22,2,705,No,0
22,male,High School,63497,2,RENT,11200,MEDICAL,6.62,0.18,4,624,No,0
23,female,Master,94912,2,MORTGAGE,6150,EDUCATION,7.88,0.06,2,595,Yes,0
23,male,High School,65978,0,RENT,11200,EDUCATION,13.99,0.17,2,656,No,0
22,female,Master,94543,0,MORTGAGE,18000,EDUCATION,10.99,0.19,3,611,No,0
22,male,Bachelor,94527,0,MORTGAGE,7750,MEDICAL,7.51,0.08,4,678,Yes,0
22,male,High School,94614,0,MORTGAGE,16000,EDUCATION,16.45,0.17,2,615,No,0
22,male,High School,94274,1,MORTGAGE,16000,EDUCATION,16.45,0.17,3,671,No,0
24,male,Master,94374,4,MORTGAGE,14500,PERSONAL,7.51,0.15,4,616,No,0
23,male,Master,72891,4,RENT,11200,EDUCATION,10.78,0.15,3,655,Yes,0
24,male,High School,94594,1,OWN,25000,EDUCATION,12.18,0.26,4,579,Yes,0
24,female,High School,74290,1,RENT,11200,PERSONAL,9.99,0.15,3,620,Yes,0
22,male,Master,74446,0,RENT,11200,PERSONAL,6.62,0.15,4,591,Yes,0
22,male,Master,94716,0,OWN,4000,PERSONAL,7.74,0.04,4,662,Yes,0
25,male,High School,95103,3,MORTGAGE,14200,HOMEIMPROVEMENT,11.48,0.15,3,607,Yes,0
22,female,High School,70461,2,RENT,11200,DEBTCONSOLIDATION,13.16,0.16,3,661,No,0
24,male,High School,94537,5,MORTGAGE,8000,DEBTCONSOLIDATION,13.22,0.08,2,606,No,0
23,male,High School,94542,0,MORTGAGE,16000,EDUCATION,11.89,0.17,3,556,No,0
22,female,High School,94507,4,MORTGAGE,9600,DEBTCONSOLIDATION,10.95,0.1,2,667,No,0
25,female,Bachelor,74586,3,MORTGAGE,20000,MEDICAL,14.74,0.27,2,649,No,0
25,female,Bachelor,82824,3,RENT,11200,PERSONAL,11.99,0.14,2,584,No,0
22,female,High School,84200,0,RENT,11200,VENTURE,11.01,0.13,2,616,Yes,0
24,male,High School,86141,1,RENT,11200,VENTURE,11.36,0.13,3,600,No,0
24,female,Associate,74778,0,MORTGAGE,13500,MEDICAL,10.83,0.18,2,613,No,0
22,male,Bachelor,94809,1,OTHER,5600,PERSONAL,11.01,0.06,2,668,Yes,0
25,female,Associate,87005,1,RENT,11200,PERSONAL,10.36,0.13,2,700,No,0
25,male,High School,94406,4,MORTGAGE,25000,HOMEIMPROVEMENT,9.64,0.26,4,624,No,0
26,female,Associate,94975,1,RENT,11200,VENTURE,11.71,0.12,3,628,No,0
25,male,Bachelor,97175,2,RENT,11200,HOMEIMPROVEMENT,11.01,0.12,3,631,No,0
25,female,Associate,95110,1,MORTGAGE,6000,MEDICAL,6.54,0.06,3,679,Yes,0
25,male,Bachelor,99301,0,RENT,11200,PERSONAL,5.42,0.11,4,670,No,0
23,female,Master,74518,4,MORTGAGE,15000,MEDICAL,16.82,0.2,3,673,No,0
24,male,Bachelor,105563,2,RENT,11200,EDUCATION,11.01,0.11,4,599,Yes,0
24,female,Bachelor,95403,0,OWN,4000,EDUCATION,5.42,0.04,3,645,Yes,0
22,female,Bachelor,94937,0,MORTGAGE,5000,VENTURE,17.49,0.05,3,560,Yes,0
24,female,,95061,3,MORTGAGE,17400,VENTURE,13.48,0.18,2,660,Yes,0
26,female,Master,121008,2,RENT,11200,EDUCATION,13.98,0.09,2,696,No,0
22,male,High School,95030,0,MORTGAGE,17500,EDUCATION,10.65,0.18,2,621,Yes,0
26,female,Bachelor,95021,3,MORTGAGE,8000,HOMEIMPROVEMENT,11.49,0.08,4,542,Yes,0
24,female,Associate,94980,4,MORTGAGE,6000,VENTURE,7.49,0.06,4,646,Yes,0
23,male,High School,95370,3,MORTGAGE,7200,EDUCATION,7.49,0.08,3,568,Yes,0
25,male,High School,87937,5,MORTGAGE,16000,VENTURE,15.28,0.18,4,607,No,0
23,female,Associate,95339,0,MORTGAGE,4800,DEBTCONSOLIDATION,7.14,0.05,4,552,Yes,0
24,female,High School,132879,0,RENT,11200,EDUCATION,7.49,0.08,4,627,Yes,0
25,male,Associate,94842,4,MORTGAGE,16000,DEBTCONSOLIDATION,7.88,0.17,2,648,No,0
24,male,Master,217203,2,RENT,11200,PERSONAL,5.79,0.05,4,605,Yes,0
25,female,High School,54968,2,RENT,11250,DEBTCONSOLIDATION,9.38,0.2,2,630,Yes,0
25,female,Bachelor,90901,3,RENT,11250,HOMEIMPROVEMENT,11.01,0.12,3,653,Yes,0
22,female,Bachelor,87970,1,MORTGAGE,5900,PERSONAL,7.49,0.07,3,610,No,0
26,male,Bachelor,75051,2,MORTGAGE,10000,MEDICAL,14.83,0.13,4,575,No,0
21,female,Master,42887,1,RENT,11300,MEDICAL,13.49,0.26,3,698,No,0
26,female,Associate,51293,3,RENT,11300,EDUCATION,13.22,0.22,4,617,Yes,0
25,female,High School,95321,3,MORTGAGE,10000,MEDICAL,9.62,0.1,2,500,Yes,0
22,male,Associate,95389,0,MORTGAGE,5500,EDUCATION,14.61,0.06,4,657,No,0
23,female,High School,95570,0,OWN,20000,VENTURE,12.42,0.21,3,647,No,0
26,male,Associate,95456,1,MORTGAGE,17500,MEDICAL,11.83,0.18,2,612,No,0
22,female,High School,88250,0,MORTGAGE,7500,PERSONAL,11.01,0.08,2,561,No,0
22,male,Associate,55444,2,RENT,11300,EDUCATION,13.48,0.2,2,686,Yes,0
22,female,Bachelor,95413,0,OWN,10000,MEDICAL,11.11,0.1,2,640,Yes,0
23,female,Bachelor,86281,1,RENT,11300,MEDICAL,7.49,0.13,2,591,No,0
21,male,High School,35797,0,RENT,11325,DEBTCONSOLIDATION,9.91,0.32,3,527,No,0
22,male,Bachelor,95754,1,MORTGAGE,10375,MEDICAL,6.62,0.11,4,633,No,0
23,female,Associate,95883,0,MORTGAGE,17825,EDUCATION,6.62,0.19,2,588,Yes,0
25,male,Bachelor,43899,2,RENT,11325,MEDICAL,12.69,0.26,4,607,No,0
24,male,Master,95660,1,MORTGAGE,8000,PERSONAL,5.99,0.08,3,649,Yes,0
25,male,Associate,36999,1,RENT,11400,VENTURE,7.51,0.31,4,627,No,0
26,female,High School,51139,1,RENT,11400,EDUCATION,7.66,0.22,3,515,Yes,0
24,male,Master,52528,4,RENT,11400,MEDICAL,11.01,0.22,2,632,No,0
25,male,Bachelor,95504,3,OWN,14000,VENTURE,6.92,0.15,2,698,No,0
22,male,Associate,95854,0,MORTGAGE,35000,VENTURE,13.8,0.37,2,663,Yes,0
22,female,Master,60808,0,RENT,11400,EDUCATION,17.58,0.19,4,664,Yes,0
23,male,High School,72808,2,RENT,11400,PERSONAL,15.23,0.16,4,642,No,0
